DATA 2012	International Conference on Data Technologies and Applications (DATA)	Rome, Italy
MobiDE 2012	11th International ACM Workshop on Data Engineering for Wireless and Mobile Access	Scottsdale, USA
SSDBM 2012	24th International Conference on Scientific and Statistical Database Management	Chania, Greece
SSDBM 2012	24th International Conference on SCIENTIFIC and Statistical Database Management	Chania, Greece
BDAS 2012	Bazy Danych - Aplikacje i Systemy	Ustron, Poland
NEDB Summit 2012	Fifth Annual New England Database Summit	Cambridge, USA
FlashDB 2012	The Second International Workshop on Flash-based Database Systems	Busan, South Korea
MDM 2012	13th IEEE International Conference on Mobile Data Management	Bangalore, India
KES-IDT 2012	4th KES International Conference on Intelligent Decision Technologies	Gifu, Japan
PODS 2012	31st ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems	Scottsdale, USA
AIKED 2012	11th WSEAS International Conference on  ARTIFICIAL INTELLIGENCE, KNOWLEDGE  ENGINEERING and DATA BASES 	Cambridge, UK
SMDB 2012	Seventh International Workshop on Self-Managing Database Systems	Washington DC, USA
DMC 2012	The 1st International Workshop on Data Management in the Cloud	Washington DC, USA
SIGMOD 2012	2012 ACM SIGMOD International Conference on Management of Data	Scottsdale, USA
SDMSM 2012	ICDE Workshop on Secure Data Management on Smart Phones and Mobile Devices	Washington DC, USA
STIR 2012	ICDE 2012 Workshop on Spatio Temporal data Integration and Retrieval	Washington DC, USA
GDM 2012	The 3rd International Workshop on Graph Data Management: Techniques and Applications	Washington DC, USA
HIS 2012	The 1st International Conference on Health Information Science	Beijing, China
DBKDA 2012	The Fourth International Conference on Advances in Databases, Knowledge, and Data Applications	Saint Gilles, France
ISCI 2012	2012 IEEE Symposium on Computers & Informatics	Penang, Malaysia
ACIIDS 2012	The 4th Asian Conference on Intelligent Information and Database Systems	Kaohsiung, Taiwan
XLDB 2011	5th Extremely Large Databases Conference	Menlo Park, USA
ADC 2012	Australasian Database Conference	Melbourne, Australia
HPCDB 2011	1st Workshop on High Performance Computing Meets Databases	Seattle, USA
DNIS 2011	7th International Workshop on Databases in Networked Information Systems	Aizu-Wakamatsu, Japan
COMAD 2011	The 17th International Conference on Management of Data	Bangalore, India
OrdRing 2011	First International Workshop on Ordering and Reasoning	Bonn, Germany
DDDM 2011	The 5th International Workshop on Domain Driven Data Mining 	Vancouver, Canada
ICDT 2012	15th International Conference on Database Theory	Berlin, Germany
DDDM 2011	CFP: DDDM 2011 Workshop joint with ICDM 2011, Deadline July 23, Vancouver, Canada	Vancouver, Canada
UOII 2011	Workshop User Oriented Information Integration	Riga, Latvia
VDA 2012	Conference on Visualization and Data Analysis	Burlingame, USA
IDEAS '11D 2011	15th International Database Engineering & Applications Symposium	Lisbon, Portugal
DOLAP 2011	Fourteenth International Workshop on Data Warehousing and Olap	Glasgow, UK
FDML 2011	International Symposium on Foundations of Data Mining and Learning	Kaohsiung, Taiwan
Oriental COCOSDA 2011	 International Conference on Speech Database and Assessments	Hsinchu City, Taiwan
CAIA 2011	Context Aware Intelligent Assistance	Berlin, Germany
CloudDB 2011	Third International Workshop on Cloud Data Management	Glasgow, UK
QoS-Workshop 2011	The 1st International Workshop on Service Oriented QoS Management from Theory to Practice	Beijing, China
DBPL 2011	The 13th International Symposium on Database Programming Languages	Seattle, USA
DBRank 2011	Fifth International Workshop on Ranking in Databases In Conjunction with VLDB 2011	Seattle, USA
VLDS 2011	First International Workshop on Searching and Integrating New Web Data Sources	Seattle, USA
QDB 2011	9th International Workshop on Quality in Databases	Seattle, USA
CMS 2011	2nd International Workshop on Conceptual Modelling of Services	Milan, Italy
EDB 2011	The Third International Conference on Emerging Databases - Technologies, Applications and Theory	Incheon, Korea
TPCTC 2011	Third TPC Technology Conference on Performance Evaluation & Benchmarking	Seattle, USA
IDEAS 2011	IDEAS'11: 15th International Database Engineering & Applications Symposium	Lisbon, Portugal
CIKM 2011	20th ACM Conference on Information and Knowledge Management 	Glasgow, UK
CIKM 2011	20th ACM International Conference on Information and Knowledge Management	Glasgow, UK
TC4SP 2011	Second International Workshop on Traceability and Compliance of Semi-Structured Processes	Clermont-Ferrand, France
KEOD 2011	Int'l Conf. on Knowledge Engineering and Ontology Development	Paris, France
CECIIS 2011	Central European Conference on Information and Intelligent Systems	Varazdin, Croatia
SUM 2011	Fifth International Conference on Scalable Uncertainty Management	Dayton, USA
DBLM 2011	International Workshop on Database Technology for Life Sciences and Medicine	Toulouse, France
SDM 2011	8th VLDB Workshop on Secure Data Management	Seattle, USA
exploreWeb 2011	First International Workshop on Search, Exploration and Navigation of Web Data Sources	Paphos, Cyprus
RSmeetDBs 2011	Recommender Systems meet Databases	Toulouse, France
JISBD 2011	XVI Jornadas de Ingeniería del Software y Bases de Datos	A Coruna, Spain
HDMS 2011	10th Hellenic Data Management Symposium	Athens, Greece
